Hydrogen (H2)	H2(ref)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
100	28.154	100.727	155.408	-5.468	0.	0.	0.
200	27.447	119.412	133.284	-2.774	0.	0.	0.
250	28.344	125.640	131.152	-1.378	0.	0.	0.
298.15	28.836	130.680	130.680	0.	0.	0.	0.
300	28.849	130.858	130.680	0.053	0.	0.	0.
350	29.081	135.325	131.032	1.502	0.	0.	0.
400	29.181	139.216	131.817	2.959	0.	0.	0.
450	29.229	142.656	132.834	4.420	0.	0.	0.
500	29.260	145.737	133.973	5.882	0.	0.	0.
600	29.327	151.077	136.392	8.811	0.	0.	0.
700	29.441	155.606	138.822	11.749	0.	0.	0.
800	29.624	159.548	141.171	14.702	0.	0.	0.
900	29.881	163.051	143.411	17.676	0.	0.	0.
