Nitrogen Oxide (NO2)	N1O2(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
100	33.276	202.563	271.168	-6.861	34.898	39.963	-20.874
200	34.385	225.852	243.325	-3.495	33.897	45.422	-11.863
250	35.593	233.649	240.634	-1.746	33.460	48.355	-10.103
298.15	36.974	240.034	240.034	0.	33.095	51.258	-8.980
300	37.029	240.262	240.034	0.068	33.083	51.371	-8.944
350	38.583	246.086	240.491	1.958	32.768	54.445	-8.125
400	40.171	251.342	241.524	3.927	32.512	57.560	-7.517
450	41.728	256.164	242.886	5.975	32.310	60.703	-7.046
500	43.206	260.638	244.440	8.099	32.154	63.867	-6.672
600	45.834	268.755	247.830	12.555	31.959	70.230	-6.114
700	47.986	275.988	251.345	17.250	31.878	76.616	-5.717
800	49.708	282.512	254.840	22.138	31.874	83.008	-5.420
900	51.076	288.449	258.250	27.179	31.923	89.397	-5.188
